9,10,99
3,13,79
1,2,36
3,7,63
9,10,75
3,4,67
8,10,40
5,8,49
2,4,100
5,7,86
3,4,96
7,10,54
7,11,44
4,9,78
2,6,55
1,14,61
2,14,94
6,9,89
8,12,57
6,12,82
3,5,50
1,14,50
2,12,51
6,14,31
1,8,95
4,14,78
12,14,46
10,12,65
5,12,86
7,14,56
7,12,45
7,8,81
6,13,84
3,4,79
5,12,73
6,8,84
8,13,66
1,3,53
2,9,30
12,14,71
8,13,42
6,9,43
6,14,40
8,12,65
3,4,31
6,12,63
1,4,33
5,9,61
5,8,41
9,13,70
2,7,88
10,14,36
12,13,46
3,9,47
6,8,54
5,7,59
4,10,38
3,11,58
3,9,77
1,9,68
3,14,55
2,11,76
4,13,78
7,8,39
1,14,61
8,14,96
10,14,70
8,14,71
4,13,84
6,12,47
4,10,79
4,7,50
1,5,70
10,14,75
1,5,58
4,12,47
3,14,96
5,8,61
13,14,67
10,12,75
1,3,77
8,10,61
4,13,42
3,14,79
8,13,95
9,13,56
13,14,75
2,7,93
9,13,64
3,6,74
4,6,63
8,13,37
3,12,38
4,7,37
1,10,61
6,12,96
7,11,75
3,6,96
3,9,34
7,11,51
