3,23,66
12,19,34
16,22,46
15,22,38
9,18,37
10,20,93
17,22,32
6,21,89
4,18,66
10,14,38
4,20,64
10,11,72
1,15,36
22,24,99
3,16,76
9,21,62
5,15,91
12,13,48
1,9,88
1,20,53
18,19,96
2,4,47
5,11,97
8,14,66
4,7,70
8,18,100
13,19,84
8,13,52
18,21,34
2,20,33
6,17,87
4,16,59
9,19,57
1,12,67
1,19,93
5,9,58
2,7,72
3,5,36
5,22,53
1,12,40
11,22,47
10,17,56
3,7,49
1,19,45
6,14,74
7,12,86
3,14,44
15,24,93
9,19,82
1,8,68
17,18,98
7,10,70
1,18,45
2,9,90
23,24,91
15,24,52
9,23,53
1,9,89
5,9,64
7,13,33
2,7,85
9,11,60
5,9,49
7,9,53
9,13,56
1,22,86
1,17,32
4,22,81
8,12,91
8,24,50
4,5,76
17,21,46
14,21,74
6,24,35
21,23,98
9,13,73
3,23,57
14,17,32
7,9,90
4,7,72
19,22,90
2,19,65
8,10,30
20,23,95
10,18,59
9,23,81
7,14,40
9,13,87
17,21,94
5,23,85
3,22,83
6,18,58
4,14,79
6,24,70
10,13,71
8,16,54
6,8,80
16,18,41
4,21,30
6,12,69
