12,20,99
15,16,93
4,11,91
8,10,86
7,8,69
5,14,59
15,16,39
21,23,76
10,12,91
3,9,49
2,13,89
9,14,35
5,10,56
4,13,49
8,20,40
3,8,74
11,14,52
1,17,98
1,11,65
4,18,82
1,23,30
17,18,72
15,18,70
6,11,87
3,5,76
6,20,92
6,16,94
12,16,40
6,14,43
19,21,86
17,21,34
19,21,57
5,15,51
4,19,82
16,21,37
3,16,86
2,16,85
8,12,67
17,19,47
6,13,35
3,18,74
1,23,31
18,21,34
9,20,39
5,24,61
10,23,77
13,22,90
5,12,65
11,18,33
3,15,52
19,23,75
11,23,85
3,5,50
6,24,65
10,14,88
18,20,72
8,15,68
10,12,53
11,14,59
17,24,86
2,22,54
6,13,62
5,6,56
11,18,78
16,22,70
7,20,76
14,16,64
5,10,58
8,20,63
6,9,34
16,24,59
11,13,98
14,22,85
2,10,81
4,16,84
13,15,83
3,18,89
1,11,84
6,22,99
18,22,37
4,11,58
9,11,64
5,19,48
1,9,32
7,23,99
14,22,81
4,10,40
1,14,40
4,7,80
10,22,57
5,10,35
10,22,59
1,5,40
12,13,86
6,9,96
1,11,30
6,14,76
11,24,78
17,24,48
21,23,89
